title,price,rate,image
The Secret Garden,£15.08,Four,https://books.toscrape.com/media/cache/c5/46/c5465a06182ed6ebfa40d049258a2f58.jpg
The Metamorphosis,£28.58,One,https://books.toscrape.com/media/cache/4a/1b/4a1b6e9c1af75db0dc34ae63344f6883.jpg
The Pilgrim's Progress,£50.26,Two,https://books.toscrape.com/media/cache/45/bb/45bb59d19eb3aa868293d44809078418.jpg
The Hound of the ...,£14.82,Two,https://books.toscrape.com/media/cache/1f/b0/1fb03cdabe6001c8a2620f65e025cbd5.jpg
Little Women (Little Women ...,£28.07,Four,https://books.toscrape.com/media/cache/81/f5/81f559ebe403317226fa8b611e35ce8a.jpg
Gone with the Wind,£32.49,Three,https://books.toscrape.com/media/cache/27/82/2782701b5c877cb063065b9fc14c5b13.jpg
Candide,£58.63,Three,https://books.toscrape.com/media/cache/e3/c4/e3c4aba2409bb769a6488805e3fc4709.jpg
Animal Farm,£57.22,Three,https://books.toscrape.com/media/cache/10/db/10db56354b4550d92270c6f097d9bebc.jpg
Wuthering Heights,£17.73,Three,https://books.toscrape.com/media/cache/93/4e/934e966c1ddf559d3ac2b5c1407aaf1e.jpg
The Picture of Dorian ...,£29.70,Two,https://books.toscrape.com/media/cache/a6/72/a67245346daa38c2b23a4fc64c6e7115.jpg
The Complete Stories and ...,£26.78,Four,https://books.toscrape.com/media/cache/42/c4/42c48f11b7e70a0f76c5ba9cb5c5018a.jpg
Beowulf,£38.35,Two,https://books.toscrape.com/media/cache/dd/6e/dd6e7b84e99f3b4b5655ea0db74af2b4.jpg
And Then There Were ...,£35.01,Two,https://books.toscrape.com/media/cache/21/bf/21bf2eb0bff3134837def8bd40845ba0.jpg
The Story of Hong ...,£43.19,Four,https://books.toscrape.com/media/cache/ab/16/ab16eb035cc58809a73c4699477de9cb.jpg
The Little Prince,£45.42,Two,https://books.toscrape.com/media/cache/c0/78/c078355608dd81c7c5e4f5e1c5f73d23.jpg
Sense and Sensibility,£37.46,One,https://books.toscrape.com/media/cache/7d/53/7d53e2264b9647ee307259be9f73585d.jpg
Of Mice and Men,£47.11,Two,https://books.toscrape.com/media/cache/0f/ca/0fca4597765ffacdb7bd529fc5eb88fa.jpg
Emma,£32.93,Two,https://books.toscrape.com/media/cache/09/63/09638baaef52f03827c215029c632a13.jpg
Alice in Wonderland (Alice's ...,£55.53,One,https://books.toscrape.com/media/cache/96/ee/96ee77d71a31b7694dac6855f6affe4e.jpg
