title,price,rate,image
Scott Pilgrim's Precious Little ...,£52.29,Five,https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
Tsubasa: WoRLD CHRoNiCLE 2 ...,£16.28,One,https://books.toscrape.com/media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg
This One Summer,£19.49,Four,https://books.toscrape.com/media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg
The Nameless City (The ...,£38.16,Four,https://books.toscrape.com/media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg
"Saga, Volume 5 (Saga ...",£51.04,Two,https://books.toscrape.com/media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg
"Rat Queens, Vol. 3: ...",£50.40,Three,https://books.toscrape.com/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg
"Princess Jellyfish 2-in-1 Omnibus, ...",£13.61,Five,https://books.toscrape.com/media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg
"Pop Gun War, Volume ...",£18.97,One,https://books.toscrape.com/media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg
Patience,£10.16,Three,https://books.toscrape.com/media/cache/01/72/01726c619a05114dca75bd840095016d.jpg
"Outcast, Vol. 1: A ...",£15.44,Four,https://books.toscrape.com/media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg
orange: The Complete Collection ...,£48.41,One,https://books.toscrape.com/media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg
"Lumberjanes, Vol. 2: Friendship ...",£46.91,Two,https://books.toscrape.com/media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg
"Lumberjanes, Vol. 1: Beware ...",£45.61,Three,https://books.toscrape.com/media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg
Lumberjanes Vol. 3: A ...,£19.92,Two,https://books.toscrape.com/media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg
"I Hate Fairyland, Vol. ...",£29.17,Two,https://books.toscrape.com/media/cache/aa/74/aa74004807e97a79aa084b5db329a99b.jpg
I am a Hero ...,£54.63,Three,https://books.toscrape.com/media/cache/16/d4/16d443437126bf6d536a89312c1995a5.jpg
"Giant Days, Vol. 2 ...",£22.11,Two,https://books.toscrape.com/media/cache/90/6f/906f0168b0e155a7077625499b1737b5.jpg
Danganronpa Volume 1,£51.99,Four,https://books.toscrape.com/media/cache/78/97/7897eea91c4a85aca58d925861d4afec.jpg
"Codename Baboushka, Volume 1: ...",£36.72,Four,https://books.toscrape.com/media/cache/f6/88/f688a9d6a89fdf38e4e88439ee9eda69.jpg
Camp Midnight,£17.08,Four,https://books.toscrape.com/media/cache/dd/c9/ddc95df6754df8e71bf969c088056188.jpg
